gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2800152591	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848664630	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Ethan Allen.2	Vermont	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.2932	-72.8843							2019-06-15T00:00:00	15	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848664630				CC0_1_0		obsr948152			2020-09-08T21:30:08.994Z		
2800152584	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848656729	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Big Slide.2	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.1802	-73.878							2019-06-18T00:00:00	18	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848656729				CC0_1_0		obsr948152			2020-09-08T21:30:08.992Z		
2800112038	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS926084893	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Mt. Washington	New Hampshire	PRESENT	3	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.2713	-71.303							2019-07-26T00:00:00	26	7	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS926084893				CC0_1_0		obsr115147			2020-09-08T21:22:18.385Z		
2800044258	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848689720	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Old Blue Mountain.6	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.7485	-70.7652							2019-06-08T00:00:00	8	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848689720				CC0_1_0		obsr948152			2020-09-08T21:28:16.180Z		
2800044249	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848667427	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Gothics.1	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.1305	-73.8514							2019-06-18T00:00:00	18	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848667427				CC0_1_0		obsr948152			2020-09-08T21:28:16.177Z		
2799970803	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS783897458	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Whiteface Mtn., Memorial Hwy, near road end	New York	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.3684	-73.9017							2019-07-10T00:00:00	10	7	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS783897458				CC0_1_0		obsr187340			2020-09-08T21:29:26.128Z		
2799828577	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848665361	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	East Mountain.3	Vermont	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.658	-71.7693							2019-06-06T00:00:00	6	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848665361				CC0_1_0		obsr948152			2020-09-08T21:31:13.330Z		
2799761016	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS783888197	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Whiteface Mtn., Memorial Hwy, near road end	New York	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.3684	-73.9017							2019-07-10T00:00:00	10	7	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS783888197				CC0_1_0		obsr674308			2020-09-08T21:42:21.863Z		
2799760168	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848689860	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Osceola.3	New Hampshire	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.0001	-71.5417							2019-06-28T00:00:00	28	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848689860				CC0_1_0		obsr948152			2020-09-08T21:33:12.689Z		
2799760166	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848685017	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Mansfield Nose.3	Vermont	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.5286	-72.8184							2019-06-09T00:00:00	9	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848685017				CC0_1_0		obsr948152			2020-09-08T21:33:12.688Z		
2799675364	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848660538	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Worcester West.5	Vermont	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.4331	-72.6122							2019-06-12T00:00:00	12	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848660538				CC0_1_0		obsr948152			2020-09-08T21:22:46.463Z		
2799675358	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848652519	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Sugarloaf Maine.1	Maine	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	45.0333	-70.315							2019-06-25T00:00:00	25	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848652519				CC0_1_0		obsr948152			2020-09-08T21:22:46.462Z		
2799578227	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848657348	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Battell South.2	Vermont	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	43.9804	-72.9408							2019-06-01T00:00:00	1	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848657348				CC0_1_0		obsr948152			2020-09-08T21:42:48.355Z		
2799578226	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS848657230	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Big Jay.1	Vermont	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.9228	-72.5339							2019-06-18T00:00:00	18	6	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS848657230				CC0_1_0		obsr948152			2020-09-08T21:42:48.354Z		
2799539519	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS781458785	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		CA	PN des Monts-Valin (SVP choisir des endroits plus précis)	Quebec	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	48.6008	-70.8462							2019-07-03T00:00:00	3	7	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS781458785				CC0_1_0		obsr537700			2020-09-08T21:42:20.813Z		
2799511786	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS787651428	Animalia	Chordata	Aves	Passeriformes	Turdidae	Catharus	Catharus bicknelli		SPECIES	Catharus bicknelli (Ridgway, 1882)	Catharus bicknelli		US	Whiteface Mtn., Memorial Hwy, near road end	New York	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	44.3684	-73.9017							2019-07-22T00:00:00	22	7	2019	2490800	2490800	HUMAN_OBSERVATION	CLO	EBIRD	OBS787651428				CC0_1_0		obsr99757			2020-09-08T21:29:46.884Z		
